Month,PremiumIncome,ClaimsPaid,AnnuitiesPaid,Benefits,SurrenderValue,OtherRepayments,OperatingExpenses
01_Jan,2374,808,360,284,514,157,343
02_Feb,2599,834,414,330,577,137,350
03_Mar,3.61423,0.938767,0.427729,0.37912,0.638292,0.163063,0.544901
04_April,2402,935,405,380,489,88,296
05_May,2816,889,349,337,501,109,353
06_Jun,2967,807,379,329,535,98,523
07_July,2688,817,375,319,483,111,317
08_Aug,2854,835,424,313,473,121,387
09_Sep,2913,751,322,294,498,71,508
10_Oct,2517,920,374,321,550,143,310
11_Nov,2707,833,379,291,585,86,366
12_Dec,3145,852,410,336,537,13,536
