Month,PremiumIncome,ClaimsPaid,AnnuitiesPaid,Benefits,SurrenderValue,OtherRepayments,OperatingExpenses
01_Jan,2246,754,367,310,488,91,363
02_Feb,2398,759,415,328,527,54,347
03_Mar,3.347744,0.856446,0.428367,0.410854,0.834782,0.141174,0.483529
04_April,2040,823,418,387,606,109,279
05_May,2056,666,315,267,384,84,323
06_Jun,2522,836,383,352,586,61,480
07_July,2351,773,373,309,522,73,301
08_Aug,2316,750,412,285,517,60,354
09_Sep,2725,767,351,324,704,73,484
10_Oct,2139,767,347,312,529,132,298
11_Nov,2230,751,376,284,474,80,354
12_Dec,2841,851,429,407,688,31,509
